"time_id","the_date","the_day","the_month","the_year","day_of_month","week_of_year","month_of_year","quarter","fiscal_period"
407,1997/2/10 00:00:00,"Monday","February",1997,10,8.00,2,"Q1",
408,1997/2/11 00:00:00,"Tuesday","February",1997,11,8.00,2,"Q1",
409,1997/2/12 00:00:00,"Wednesday","February",1997,12,8.00,2,"Q1",
410,1997/2/13 00:00:00,"Thursday","February",1997,13,8.00,2,"Q1",
411,1997/2/14 00:00:00,"Friday","February",1997,14,8.00,2,"Q1",
412,1997/2/15 00:00:00,"Saturday","February",1997,15,8.00,2,"Q1",
413,1997/2/16 00:00:00,"Sunday","February",1997,16,9.00,2,"Q1",
414,1997/2/17 00:00:00,"Monday","February",1997,17,9.00,2,"Q1",
415,1997/2/18 00:00:00,"Tuesday","February",1997,18,9.00,2,"Q1",
416,1997/2/19 00:00:00,"Wednesday","February",1997,19,9.00,2,"Q1",
417,1997/2/20 00:00:00,"Thursday","February",1997,20,9.00,2,"Q1",
418,1997/2/21 00:00:00,"Friday","February",1997,21,9.00,2,"Q1",
419,1997/2/22 00:00:00,"Saturday","February",1997,22,9.00,2,"Q1",
420,1997/2/23 00:00:00,"Sunday","February",1997,23,10.00,2,"Q1",
421,1997/2/24 00:00:00,"Monday","February",1997,24,10.00,2,"Q1",
422,1997/2/25 00:00:00,"Tuesday","February",1997,25,10.00,2,"Q1",
423,1997/2/26 00:00:00,"Wednesday","February",1997,26,10.00,2,"Q1",
424,1997/2/27 00:00:00,"Thursday","February",1997,27,10.00,2,"Q1",
425,1997/2/28 00:00:00,"Friday","February",1997,28,10.00,2,"Q1",
426,1997/3/1 00:00:00,"Saturday","March",1997,1,10.00,3,"Q1",
427,1997/3/2 00:00:00,"Sunday","March",1997,2,11.00,3,"Q1",
428,1997/3/3 00:00:00,"Monday","March",1997,3,11.00,3,"Q1",
429,1997/3/4 00:00:00,"Tuesday","March",1997,4,11.00,3,"Q1",
430,1997/3/5 00:00:00,"Wednesday","March",1997,5,11.00,3,"Q1",
431,1997/3/6 00:00:00,"Thursday","March",1997,6,11.00,3,"Q1",
432,1997/3/7 00:00:00,"Friday","March",1997,7,11.00,3,"Q1",
433,1997/3/8 00:00:00,"Saturday","March",1997,8,11.00,3,"Q1",
434,1997/3/9 00:00:00,"Sunday","March",1997,9,12.00,3,"Q1",
435,1997/3/10 00:00:00,"Monday","March",1997,10,12.00,3,"Q1",
436,1997/3/11 00:00:00,"Tuesday","March",1997,11,12.00,3,"Q1",
437,1997/3/12 00:00:00,"Wednesday","March",1997,12,12.00,3,"Q1",
438,1997/3/13 00:00:00,"Thursday","March",1997,13,12.00,3,"Q1",
439,1997/3/14 00:00:00,"Friday","March",1997,14,12.00,3,"Q1",
440,1997/3/15 00:00:00,"Saturday","March",1997,15,12.00,3,"Q1",
441,1997/3/16 00:00:00,"Sunday","March",1997,16,13.00,3,"Q1",
442,1997/3/17 00:00:00,"Monday","March",1997,17,13.00,3,"Q1",
443,1997/3/18 00:00:00,"Tuesday","March",1997,18,13.00,3,"Q1",
444,1997/3/19 00:00:00,"Wednesday","March",1997,19,13.00,3,"Q1",
445,1997/3/20 00:00:00,"Thursday","March",1997,20,13.00,3,"Q1",
446,1997/3/21 00:00:00,"Friday","March",1997,21,13.00,3,"Q1",
447,1997/3/22 00:00:00,"Saturday","March",1997,22,13.00,3,"Q1",
448,1997/3/23 00:00:00,"Sunday","March",1997,23,14.00,3,"Q1",
449,1997/3/24 00:00:00,"Monday","March",1997,24,14.00,3,"Q1",
450,1997/3/25 00:00:00,"Tuesday","March",1997,25,14.00,3,"Q1",
451,1997/3/26 00:00:00,"Wednesday","March",1997,26,14.00,3,"Q1",
452,1997/3/27 00:00:00,"Thursday","March",1997,27,14.00,3,"Q1",
453,1997/3/28 00:00:00,"Friday","March",1997,28,14.00,3,"Q1",
454,1997/3/29 00:00:00,"Saturday","March",1997,29,14.00,3,"Q1",
455,1997/3/30 00:00:00,"Sunday","March",1997,30,15.00,3,"Q1",
456,1997/3/31 00:00:00,"Monday","March",1997,31,15.00,3,"Q1",
457,1997/4/1 00:00:00,"Tuesday","April",1997,1,15.00,4,"Q2",
458,1997/4/2 00:00:00,"Wednesday","April",1997,2,15.00,4,"Q2",
459,1997/4/3 00:00:00,"Thursday","April",1997,3,15.00,4,"Q2",
460,1997/4/4 00:00:00,"Friday","April",1997,4,15.00,4,"Q2",
461,1997/4/5 00:00:00,"Saturday","April",1997,5,15.00,4,"Q2",
462,1997/4/6 00:00:00,"Sunday","April",1997,6,16.00,4,"Q2",
463,1997/4/7 00:00:00,"Monday","April",1997,7,16.00,4,"Q2",
464,1997/4/8 00:00:00,"Tuesday","April",1997,8,16.00,4,"Q2",
465,1997/4/9 00:00:00,"Wednesday","April",1997,9,16.00,4,"Q2",
466,1997/4/10 00:00:00,"Thursday","April",1997,10,16.00,4,"Q2",
467,1997/4/11 00:00:00,"Friday","April",1997,11,16.00,4,"Q2",
468,1997/4/12 00:00:00,"Saturday","April",1997,12,16.00,4,"Q2",
469,1997/4/13 00:00:00,"Sunday","April",1997,13,17.00,4,"Q2",
470,1997/4/14 00:00:00,"Monday","April",1997,14,17.00,4,"Q2",
471,1997/4/15 00:00:00,"Tuesday","April",1997,15,17.00,4,"Q2",
472,1997/4/16 00:00:00,"Wednesday","April",1997,16,17.00,4,"Q2",
473,1997/4/17 00:00:00,"Thursday","April",1997,17,17.00,4,"Q2",
474,1997/4/18 00:00:00,"Friday","April",1997,18,17.00,4,"Q2",
475,1997/4/19 00:00:00,"Saturday","April",1997,19,17.00,4,"Q2",
476,1997/4/20 00:00:00,"Sunday","April",1997,20,18.00,4,"Q2",
477,1997/4/21 00:00:00,"Monday","April",1997,21,18.00,4,"Q2",
478,1997/4/22 00:00:00,"Tuesday","April",1997,22,18.00,4,"Q2",
479,1997/4/23 00:00:00,"Wednesday","April",1997,23,18.00,4,"Q2",
480,1997/4/24 00:00:00,"Thursday","April",1997,24,18.00,4,"Q2",
481,1997/4/25 00:00:00,"Friday","April",1997,25,18.00,4,"Q2",
482,1997/4/26 00:00:00,"Saturday","April",1997,26,18.00,4,"Q2",
483,1997/4/27 00:00:00,"Sunday","April",1997,27,19.00,4,"Q2",
484,1997/4/28 00:00:00,"Monday","April",1997,28,19.00,4,"Q2",
485,1997/4/29 00:00:00,"Tuesday","April",1997,29,19.00,4,"Q2",
486,1997/4/30 00:00:00,"Wednesday","April",1997,30,19.00,4,"Q2",
487,1997/5/1 00:00:00,"Thursday","May",1997,1,19.00,5,"Q2",
488,1997/5/2 00:00:00,"Friday","May",1997,2,19.00,5,"Q2",
489,1997/5/3 00:00:00,"Saturday","May",1997,3,19.00,5,"Q2",
490,1997/5/4 00:00:00,"Sunday","May",1997,4,20.00,5,"Q2",
491,1997/5/5 00:00:00,"Monday","May",1997,5,20.00,5,"Q2",
492,1997/5/6 00:00:00,"Tuesday","May",1997,6,20.00,5,"Q2",
493,1997/5/7 00:00:00,"Wednesday","May",1997,7,20.00,5,"Q2",
494,1997/5/8 00:00:00,"Thursday","May",1997,8,20.00,5,"Q2",
495,1997/5/9 00:00:00,"Friday","May",1997,9,20.00,5,"Q2",
496,1997/5/10 00:00:00,"Saturday","May",1997,10,20.00,5,"Q2",
497,1997/5/11 00:00:00,"Sunday","May",1997,11,21.00,5,"Q2",
498,1997/5/12 00:00:00,"Monday","May",1997,12,21.00,5,"Q2",
499,1997/5/13 00:00:00,"Tuesday","May",1997,13,21.00,5,"Q2",
500,1997/5/14 00:00:00,"Wednesday","May",1997,14,21.00,5,"Q2",
501,1997/5/15 00:00:00,"Thursday","May",1997,15,21.00,5,"Q2",
502,1997/5/16 00:00:00,"Friday","May",1997,16,21.00,5,"Q2",
503,1997/5/17 00:00:00,"Saturday","May",1997,17,21.00,5,"Q2",
504,1997/5/18 00:00:00,"Sunday","May",1997,18,22.00,5,"Q2",
505,1997/5/19 00:00:00,"Monday","May",1997,19,22.00,5,"Q2",
506,1997/5/20 00:00:00,"Tuesday","May",1997,20,22.00,5,"Q2",
507,1997/5/21 00:00:00,"Wednesday","May",1997,21,22.00,5,"Q2",
508,1997/5/22 00:00:00,"Thursday","May",1997,22,22.00,5,"Q2",
509,1997/5/23 00:00:00,"Friday","May",1997,23,22.00,5,"Q2",
510,1997/5/24 00:00:00,"Saturday","May",1997,24,22.00,5,"Q2",
511,1997/5/25 00:00:00,"Sunday","May",1997,25,23.00,5,"Q2",
512,1997/5/26 00:00:00,"Monday","May",1997,26,23.00,5,"Q2",
513,1997/5/27 00:00:00,"Tuesday","May",1997,27,23.00,5,"Q2",
514,1997/5/28 00:00:00,"Wednesday","May",1997,28,23.00,5,"Q2",
515,1997/5/29 00:00:00,"Thursday","May",1997,29,23.00,5,"Q2",
516,1997/5/30 00:00:00,"Friday","May",1997,30,23.00,5,"Q2",
517,1997/5/31 00:00:00,"Saturday","May",1997,31,23.00,5,"Q2",
518,1997/6/1 00:00:00,"Sunday","June",1997,1,24.00,6,"Q2",
519,1997/6/2 00:00:00,"Monday","June",1997,2,24.00,6,"Q2",
520,1997/6/3 00:00:00,"Tuesday","June",1997,3,24.00,6,"Q2",
521,1997/6/4 00:00:00,"Wednesday","June",1997,4,24.00,6,"Q2",
522,1997/6/5 00:00:00,"Thursday","June",1997,5,24.00,6,"Q2",
523,1997/6/6 00:00:00,"Friday","June",1997,6,24.00,6,"Q2",
524,1997/6/7 00:00:00,"Saturday","June",1997,7,24.00,6,"Q2",
525,1997/6/8 00:00:00,"Sunday","June",1997,8,25.00,6,"Q2",
526,1997/6/9 00:00:00,"Monday","June",1997,9,25.00,6,"Q2",
527,1997/6/10 00:00:00,"Tuesday","June",1997,10,25.00,6,"Q2",
528,1997/6/11 00:00:00,"Wednesday","June",1997,11,25.00,6,"Q2",
529,1997/6/12 00:00:00,"Thursday","June",1997,12,25.00,6,"Q2",
530,1997/6/13 00:00:00,"Friday","June",1997,13,25.00,6,"Q2",
531,1997/6/14 00:00:00,"Saturday","June",1997,14,25.00,6,"Q2",
532,1997/6/15 00:00:00,"Sunday","June",1997,15,26.00,6,"Q2",
533,1997/6/16 00:00:00,"Monday","June",1997,16,26.00,6,"Q2",
534,1997/6/17 00:00:00,"Tuesday","June",1997,17,26.00,6,"Q2",
535,1997/6/18 00:00:00,"Wednesday","June",1997,18,26.00,6,"Q2",
536,1997/6/19 00:00:00,"Thursday","June",1997,19,26.00,6,"Q2",
537,1997/6/20 00:00:00,"Friday","June",1997,20,26.00,6,"Q2",
538,1997/6/21 00:00:00,"Saturday","June",1997,21,26.00,6,"Q2",
539,1997/6/22 00:00:00,"Sunday","June",1997,22,27.00,6,"Q2",
540,1997/6/23 00:00:00,"Monday","June",1997,23,27.00,6,"Q2",
541,1997/6/24 00:00:00,"Tuesday","June",1997,24,27.00,6,"Q2",
542,1997/6/25 00:00:00,"Wednesday","June",1997,25,27.00,6,"Q2",
543,1997/6/26 00:00:00,"Thursday","June",1997,26,27.00,6,"Q2",
544,1997/6/27 00:00:00,"Friday","June",1997,27,27.00,6,"Q2",
545,1997/6/28 00:00:00,"Saturday","June",1997,28,27.00,6,"Q2",
546,1997/6/29 00:00:00,"Sunday","June",1997,29,28.00,6,"Q2",
547,1997/6/30 00:00:00,"Monday","June",1997,30,28.00,6,"Q2",
548,1997/7/1 00:00:00,"Tuesday","July",1997,1,28.00,7,"Q3",
549,1997/7/2 00:00:00,"Wednesday","July",1997,2,28.00,7,"Q3",
550,1997/7/3 00:00:00,"Thursday","July",1997,3,28.00,7,"Q3",
551,1997/7/4 00:00:00,"Friday","July",1997,4,28.00,7,"Q3",
552,1997/7/5 00:00:00,"Saturday","July",1997,5,28.00,7,"Q3",
553,1997/7/6 00:00:00,"Sunday","July",1997,6,29.00,7,"Q3",
554,1997/7/7 00:00:00,"Monday","July",1997,7,29.00,7,"Q3",
555,1997/7/8 00:00:00,"Tuesday","July",1997,8,29.00,7,"Q3",
556,1997/7/9 00:00:00,"Wednesday","July",1997,9,29.00,7,"Q3",
557,1997/7/10 00:00:00,"Thursday","July",1997,10,29.00,7,"Q3",
558,1997/7/11 00:00:00,"Friday","July",1997,11,29.00,7,"Q3",
559,1997/7/12 00:00:00,"Saturday","July",1997,12,29.00,7,"Q3",
560,1997/7/13 00:00:00,"Sunday","July",1997,13,30.00,7,"Q3",
561,1997/7/14 00:00:00,"Monday","July",1997,14,30.00,7,"Q3",
562,1997/7/15 00:00:00,"Tuesday","July",1997,15,30.00,7,"Q3",
563,1997/7/16 00:00:00,"Wednesday","July",1997,16,30.00,7,"Q3",
564,1997/7/17 00:00:00,"Thursday","July",1997,17,30.00,7,"Q3",
565,1997/7/18 00:00:00,"Friday","July",1997,18,30.00,7,"Q3",
566,1997/7/19 00:00:00,"Saturday","July",1997,19,30.00,7,"Q3",
567,1997/7/20 00:00:00,"Sunday","July",1997,20,31.00,7,"Q3",
568,1997/7/21 00:00:00,"Monday","July",1997,21,31.00,7,"Q3",
569,1997/7/22 00:00:00,"Tuesday","July",1997,22,31.00,7,"Q3",
570,1997/7/23 00:00:00,"Wednesday","July",1997,23,31.00,7,"Q3",
571,1997/7/24 00:00:00,"Thursday","July",1997,24,31.00,7,"Q3",
572,1997/7/25 00:00:00,"Friday","July",1997,25,31.00,7,"Q3",
573,1997/7/26 00:00:00,"Saturday","July",1997,26,31.00,7,"Q3",
574,1997/7/27 00:00:00,"Sunday","July",1997,27,32.00,7,"Q3",
575,1997/7/28 00:00:00,"Monday","July",1997,28,32.00,7,"Q3",
576,1997/7/29 00:00:00,"Tuesday","July",1997,29,32.00,7,"Q3",
577,1997/7/30 00:00:00,"Wednesday","July",1997,30,32.00,7,"Q3",
578,1997/7/31 00:00:00,"Thursday","July",1997,31,32.00,7,"Q3",
579,1997/8/1 00:00:00,"Friday","August",1997,1,32.00,8,"Q3",
580,1997/8/2 00:00:00,"Saturday","August",1997,2,32.00,8,"Q3",
581,1997/8/3 00:00:00,"Sunday","August",1997,3,33.00,8,"Q3",
582,1997/8/4 00:00:00,"Monday","August",1997,4,33.00,8,"Q3",
583,1997/8/5 00:00:00,"Tuesday","August",1997,5,33.00,8,"Q3",
584,1997/8/6 00:00:00,"Wednesday","August",1997,6,33.00,8,"Q3",
585,1997/8/7 00:00:00,"Thursday","August",1997,7,33.00,8,"Q3",
586,1997/8/8 00:00:00,"Friday","August",1997,8,33.00,8,"Q3",
587,1997/8/9 00:00:00,"Saturday","August",1997,9,33.00,8,"Q3",
588,1997/8/10 00:00:00,"Sunday","August",1997,10,34.00,8,"Q3",
589,1997/8/11 00:00:00,"Monday","August",1997,11,34.00,8,"Q3",
590,1997/8/12 00:00:00,"Tuesday","August",1997,12,34.00,8,"Q3",
591,1997/8/13 00:00:00,"Wednesday","August",1997,13,34.00,8,"Q3",
592,1997/8/14 00:00:00,"Thursday","August",1997,14,34.00,8,"Q3",
593,1997/8/15 00:00:00,"Friday","August",1997,15,34.00,8,"Q3",
594,1997/8/16 00:00:00,"Saturday","August",1997,16,34.00,8,"Q3",
595,1997/8/17 00:00:00,"Sunday","August",1997,17,35.00,8,"Q3",
596,1997/8/18 00:00:00,"Monday","August",1997,18,35.00,8,"Q3",
597,1997/8/19 00:00:00,"Tuesday","August",1997,19,35.00,8,"Q3",
598,1997/8/20 00:00:00,"Wednesday","August",1997,20,35.00,8,"Q3",
599,1997/8/21 00:00:00,"Thursday","August",1997,21,35.00,8,"Q3",
600,1997/8/22 00:00:00,"Friday","August",1997,22,35.00,8,"Q3",
601,1997/8/23 00:00:00,"Saturday","August",1997,23,35.00,8,"Q3",
602,1997/8/24 00:00:00,"Sunday","August",1997,24,36.00,8,"Q3",
603,1997/8/25 00:00:00,"Monday","August",1997,25,36.00,8,"Q3",
604,1997/8/26 00:00:00,"Tuesday","August",1997,26,36.00,8,"Q3",
605,1997/8/27 00:00:00,"Wednesday","August",1997,27,36.00,8,"Q3",
606,1997/8/28 00:00:00,"Thursday","August",1997,28,36.00,8,"Q3",
607,1997/8/29 00:00:00,"Friday","August",1997,29,36.00,8,"Q3",
608,1997/8/30 00:00:00,"Saturday","August",1997,30,36.00,8,"Q3",
609,1997/8/31 00:00:00,"Sunday","August",1997,31,37.00,8,"Q3",
610,1997/9/1 00:00:00,"Monday","September",1997,1,37.00,9,"Q3",
611,1997/9/2 00:00:00,"Tuesday","September",1997,2,37.00,9,"Q3",
612,1997/9/3 00:00:00,"Wednesday","September",1997,3,37.00,9,"Q3",
613,1997/9/4 00:00:00,"Thursday","September",1997,4,37.00,9,"Q3",
614,1997/9/5 00:00:00,"Friday","September",1997,5,37.00,9,"Q3",
615,1997/9/6 00:00:00,"Saturday","September",1997,6,37.00,9,"Q3",
616,1997/9/7 00:00:00,"Sunday","September",1997,7,38.00,9,"Q3",
617,1997/9/8 00:00:00,"Monday","September",1997,8,38.00,9,"Q3",
618,1997/9/9 00:00:00,"Tuesday","September",1997,9,38.00,9,"Q3",
619,1997/9/10 00:00:00,"Wednesday","September",1997,10,38.00,9,"Q3",
620,1997/9/11 00:00:00,"Thursday","September",1997,11,38.00,9,"Q3",
621,1997/9/12 00:00:00,"Friday","September",1997,12,38.00,9,"Q3",
622,1997/9/13 00:00:00,"Saturday","September",1997,13,38.00,9,"Q3",
623,1997/9/14 00:00:00,"Sunday","September",1997,14,39.00,9,"Q3",
624,1997/9/15 00:00:00,"Monday","September",1997,15,39.00,9,"Q3",
625,1997/9/16 00:00:00,"Tuesday","September",1997,16,39.00,9,"Q3",
626,1997/9/17 00:00:00,"Wednesday","September",1997,17,39.00,9,"Q3",
627,1997/9/18 00:00:00,"Thursday","September",1997,18,39.00,9,"Q3",
628,1997/9/19 00:00:00,"Friday","September",1997,19,39.00,9,"Q3",
629,1997/9/20 00:00:00,"Saturday","September",1997,20,39.00,9,"Q3",
630,1997/9/21 00:00:00,"Sunday","September",1997,21,40.00,9,"Q3",
631,1997/9/22 00:00:00,"Monday","September",1997,22,40.00,9,"Q3",
632,1997/9/23 00:00:00,"Tuesday","September",1997,23,40.00,9,"Q3",
633,1997/9/24 00:00:00,"Wednesday","September",1997,24,40.00,9,"Q3",
634,1997/9/25 00:00:00,"Thursday","September",1997,25,40.00,9,"Q3",
635,1997/9/26 00:00:00,"Friday","September",1997,26,40.00,9,"Q3",
636,1997/9/27 00:00:00,"Saturday","September",1997,27,40.00,9,"Q3",
637,1997/9/28 00:00:00,"Sunday","September",1997,28,41.00,9,"Q3",
638,1997/9/29 00:00:00,"Monday","September",1997,29,41.00,9,"Q3",
639,1997/9/30 00:00:00,"Tuesday","September",1997,30,41.00,9,"Q3",
640,1997/10/1 00:00:00,"Wednesday","October",1997,1,41.00,10,"Q4",
641,1997/10/2 00:00:00,"Thursday","October",1997,2,41.00,10,"Q4",
642,1997/10/3 00:00:00,"Friday","October",1997,3,41.00,10,"Q4",
643,1997/10/4 00:00:00,"Saturday","October",1997,4,41.00,10,"Q4",
644,1997/10/5 00:00:00,"Sunday","October",1997,5,42.00,10,"Q4",
645,1997/10/6 00:00:00,"Monday","October",1997,6,42.00,10,"Q4",
646,1997/10/7 00:00:00,"Tuesday","October",1997,7,42.00,10,"Q4",
647,1997/10/8 00:00:00,"Wednesday","October",1997,8,42.00,10,"Q4",
648,1997/10/9 00:00:00,"Thursday","October",1997,9,42.00,10,"Q4",
649,1997/10/10 00:00:00,"Friday","October",1997,10,42.00,10,"Q4",
650,1997/10/11 00:00:00,"Saturday","October",1997,11,42.00,10,"Q4",
651,1997/10/12 00:00:00,"Sunday","October",1997,12,43.00,10,"Q4",
652,1997/10/13 00:00:00,"Monday","October",1997,13,43.00,10,"Q4",
653,1997/10/14 00:00:00,"Tuesday","October",1997,14,43.00,10,"Q4",
654,1997/10/15 00:00:00,"Wednesday","October",1997,15,43.00,10,"Q4",
655,1997/10/16 00:00:00,"Thursday","October",1997,16,43.00,10,"Q4",
656,1997/10/17 00:00:00,"Friday","October",1997,17,43.00,10,"Q4",
657,1997/10/18 00:00:00,"Saturday","October",1997,18,43.00,10,"Q4",
658,1997/10/19 00:00:00,"Sunday","October",1997,19,44.00,10,"Q4",
659,1997/10/20 00:00:00,"Monday","October",1997,20,44.00,10,"Q4",
660,1997/10/21 00:00:00,"Tuesday","October",1997,21,44.00,10,"Q4",
661,1997/10/22 00:00:00,"Wednesday","October",1997,22,44.00,10,"Q4",
662,1997/10/23 00:00:00,"Thursday","October",1997,23,44.00,10,"Q4",
663,1997/10/24 00:00:00,"Friday","October",1997,24,44.00,10,"Q4",
664,1997/10/25 00:00:00,"Saturday","October",1997,25,44.00,10,"Q4",
665,1997/10/26 00:00:00,"Sunday","October",1997,26,45.00,10,"Q4",
666,1997/10/27 00:00:00,"Monday","October",1997,27,45.00,10,"Q4",
667,1997/10/28 00:00:00,"Tuesday","October",1997,28,45.00,10,"Q4",
668,1997/10/29 00:00:00,"Wednesday","October",1997,29,45.00,10,"Q4",
669,1997/10/30 00:00:00,"Thursday","October",1997,30,45.00,10,"Q4",
670,1997/10/31 00:00:00,"Friday","October",1997,31,45.00,10,"Q4",
671,1997/11/1 00:00:00,"Saturday","November",1997,1,45.00,11,"Q4",
672,1997/11/2 00:00:00,"Sunday","November",1997,2,46.00,11,"Q4",
673,1997/11/3 00:00:00,"Monday","November",1997,3,46.00,11,"Q4",
674,1997/11/4 00:00:00,"Tuesday","November",1997,4,46.00,11,"Q4",
675,1997/11/5 00:00:00,"Wednesday","November",1997,5,46.00,11,"Q4",
676,1997/11/6 00:00:00,"Thursday","November",1997,6,46.00,11,"Q4",
677,1997/11/7 00:00:00,"Friday","November",1997,7,46.00,11,"Q4",
678,1997/11/8 00:00:00,"Saturday","November",1997,8,46.00,11,"Q4",
679,1997/11/9 00:00:00,"Sunday","November",1997,9,47.00,11,"Q4",
680,1997/11/10 00:00:00,"Monday","November",1997,10,47.00,11,"Q4",
681,1997/11/11 00:00:00,"Tuesday","November",1997,11,47.00,11,"Q4",
682,1997/11/12 00:00:00,"Wednesday","November",1997,12,47.00,11,"Q4",
683,1997/11/13 00:00:00,"Thursday","November",1997,13,47.00,11,"Q4",
684,1997/11/14 00:00:00,"Friday","November",1997,14,47.00,11,"Q4",
685,1997/11/15 00:00:00,"Saturday","November",1997,15,47.00,11,"Q4",
686,1997/11/16 00:00:00,"Sunday","November",1997,16,48.00,11,"Q4",
687,1997/11/17 00:00:00,"Monday","November",1997,17,48.00,11,"Q4",
688,1997/11/18 00:00:00,"Tuesday","November",1997,18,48.00,11,"Q4",
689,1997/11/19 00:00:00,"Wednesday","November",1997,19,48.00,11,"Q4",
690,1997/11/20 00:00:00,"Thursday","November",1997,20,48.00,11,"Q4",
691,1997/11/21 00:00:00,"Friday","November",1997,21,48.00,11,"Q4",
692,1997/11/22 00:00:00,"Saturday","November",1997,22,48.00,11,"Q4",
693,1997/11/23 00:00:00,"Sunday","November",1997,23,49.00,11,"Q4",
694,1997/11/24 00:00:00,"Monday","November",1997,24,49.00,11,"Q4",
695,1997/11/25 00:00:00,"Tuesday","November",1997,25,49.00,11,"Q4",
696,1997/11/26 00:00:00,"Wednesday","November",1997,26,49.00,11,"Q4",
697,1997/11/27 00:00:00,"Thursday","November",1997,27,49.00,11,"Q4",
698,1997/11/28 00:00:00,"Friday","November",1997,28,49.00,11,"Q4",
699,1997/11/29 00:00:00,"Saturday","November",1997,29,49.00,11,"Q4",
700,1997/11/30 00:00:00,"Sunday","November",1997,30,50.00,11,"Q4",
701,1997/12/1 00:00:00,"Monday","December",1997,1,50.00,12,"Q4",
702,1997/12/2 00:00:00,"Tuesday","December",1997,2,50.00,12,"Q4",
703,1997/12/3 00:00:00,"Wednesday","December",1997,3,50.00,12,"Q4",
704,1997/12/4 00:00:00,"Thursday","December",1997,4,50.00,12,"Q4",
705,1997/12/5 00:00:00,"Friday","December",1997,5,50.00,12,"Q4",
706,1997/12/6 00:00:00,"Saturday","December",1997,6,50.00,12,"Q4",
707,1997/12/7 00:00:00,"Sunday","December",1997,7,51.00,12,"Q4",
708,1997/12/8 00:00:00,"Monday","December",1997,8,51.00,12,"Q4",
709,1997/12/9 00:00:00,"Tuesday","December",1997,9,51.00,12,"Q4",
710,1997/12/10 00:00:00,"Wednesday","December",1997,10,51.00,12,"Q4",
711,1997/12/11 00:00:00,"Thursday","December",1997,11,51.00,12,"Q4",
712,1997/12/12 00:00:00,"Friday","December",1997,12,51.00,12,"Q4",
713,1997/12/13 00:00:00,"Saturday","December",1997,13,51.00,12,"Q4",
