"store_id","store_type","region_id","store_name","store_number","store_street_address","store_city","store_state","store_postal_code","store_country","store_manager","store_phone","store_fax","first_opened_date","last_remodel_date","lease_sqft","store_sqft","grocery_sqft","frozen_sqft","meat_sqft","coffee_bar","video_store","salad_bar","prepared_food","florist"
14,"Small Grocery",1,"Store 14",14.00,"4365 Indigo Ct","San Francisco","CA","55555","USA","Strehlo","135-555-4888","135-555-4881",1957/11/24 00:00:00,1958/1/7 00:00:00,,22478.00,15320.95,4294.22,2862.81,1,0,0,0,0
15,"Supermarket",18,"Store 15",15.00,"5006 Highland Drive","Seattle","WA","55555","USA","Ollom","893-555-1024","893-555-1021",1969/7/24 00:00:00,1973/10/19 00:00:00,,21215.00,13305.46,4745.72,3163.81,1,0,0,0,0
16,"Supermarket",87,"Store 16",16.00,"5922 La Salle Ct","Spokane","WA","55555","USA","Mantle","643-555-3645","643-555-3641",1974/8/23 00:00:00,1977/7/13 00:00:00,,30268.00,22062.86,4923.07,3282.05,0,0,0,0,0
17,"Deluxe Supermarket",84,"Store 17",17.00,"490 Risdon Road","Tacoma","WA","55555","USA","Mays","855-555-5581","855-555-5581",1970/5/30 00:00:00,1976/6/23 00:00:00,,33858.00,22123.34,7040.79,4693.86,1,0,1,1,1
18,"Mid-Size Grocery",25,"Store 18",18.00,"6764 Glen Road","Hidalgo","Zacatecas","55555","Mexico","Brown","528-555-8317","528-555-8311",1969/6/28 00:00:00,1975/8/30 00:00:00,,38382.00,30350.71,4818.77,3212.51,0,0,0,0,0
19,"Deluxe Supermarket",5,"Store 19",19.00,"6644 Sudance Drive","Vancouver","BC","55555","Canada","Ruth","862-555-7395","862-555-7391",1977/3/27 00:00:00,1990/10/25 00:00:00,,23112.00,16417.97,4016.41,2677.61,1,1,1,1,1
20,"Mid-Size Grocery",6,"Store 20",20.00,"3706 Marvelle Ln","Victoria","BC","55555","Canada","Cobb","897-555-1931","897-555-1931",1980/2/6 00:00:00,1987/4/9 00:00:00,,34452.00,27463.35,4193.18,2795.45,1,0,0,0,1
21,"Deluxe Supermarket",106,"Store 21",21.00,"4093 Steven Circle","San Andres","DF","55555","Mexico","Jones","493-555-4781","493-555-4781",1986/2/7 00:00:00,1990/4/16 00:00:00,,,,,,1,0,1,1,1
22,"Small Grocery",88,"Store 22",22.00,"9606 Julpum Loop","Walla Walla","WA","55555","USA","Byrg","881-555-5117","881-555-5111",1951/1/24 00:00:00,1969/10/17 00:00:00,,,,,,0,0,0,0,0
23,"Mid-Size Grocery",89,"Store 23",23.00,"3920 Noah Court","Yakima","WA","55555","USA","Johnson","170-555-8424","170-555-8421",1977/7/16 00:00:00,1987/7/24 00:00:00,,,,,,0,0,0,0,0
24,"Supermarket",7,"Store 24",24.00,"2342 Waltham St.","San Diego","CA","55555","USA","Byrd","111-555-0303","111-555-0304",1979/5/22 00:00:00,1986/4/20 00:00:00,,,,,,1,0,1,0,1
