"product_class_id","product_id","brand_name","product_name","SKU","SRP","gross_weight","net_weight","recyclable_package","low_fat","units_per_case","cases_per_pallet","shelf_width","shelf_height","shelf_depth"
60,108,"Golden","Golden Frozen Peas",63691950440.00,NT$2.19,11.90,9.89,1,1,34,6,8.69,9.67,20.50
9,109,"Golden","Golden Popsicles",51792051196.00,NT$3.95,19.00,16.00,0,0,11,12,6.69,10.40,7.67
100,110,"Golden","Golden Frozen Chicken Thighs",29084437489.00,NT$2.35,12.00,10.00,1,1,34,13,22.30,10.20,6.75
100,111,"Golden","Golden Frozen Chicken Wings",52520174384.00,NT$3.48,15.40,13.30,1,1,17,12,22.00,10.70,10.00
110,112,"Golden","Golden Lemon Popsicles",89050326943.00,NT$1.13,9.35,7.35,0,1,35,5,21.90,15.00,13.80
78,113,"Faux Products","Faux Products Silky Smooth Hair Conditioner",15625960230.00,NT$2.29,19.70,17.70,1,0,8,12,14.50,8.23,15.00
39,114,"Faux Products","Faux Products Tartar Control Toothpaste",21393879055.00,NT$0.92,20.60,19.60,0,0,31,11,19.10,10.50,9.73
39,115,"Faux Products","Faux Products Whitening Toothpast",14283847212.00,NT$0.65,20.60,18.60,1,0,33,13,10.60,11.70,9.62
39,116,"Faux Products","Faux Products Toothpaste",79289532303.00,NT$3.97,8.33,5.32,1,0,8,10,7.45,20.80,13.40
39,117,"Faux Products","Faux Products Deodorant",10438567996.00,NT$2.75,9.24,7.23,0,0,31,10,12.00,3.12,8.19
79,118,"Faux Products","Faux Products Conditioning Shampoo",44682019352.00,NT$1.48,8.27,6.27,1,0,20,13,8.55,14.10,3.48
79,119,"Faux Products","Faux Products Extra Moisture Shampoo",35068821310.00,NT$2.28,20.10,19.10,0,0,7,12,7.86,8.33,14.70
88,120,"Faux Products","Faux Products Angled Toothbrush",14647908806.00,NT$2.26,12.90,9.89,0,0,23,13,9.99,5.60,22.00
79,121,"Faux Products","Faux Products Apricot Shampoo",64272477030.00,NT$2.98,11.60,8.60,1,0,21,11,21.40,6.61,22.40
70,122,"Faux Products","Faux Products Childrens Aspirin",36991460919.00,NT$1.99,12.50,10.50,0,0,9,10,6.11,8.89,17.10
70,123,"Faux Products","Faux Products Buffered Aspirin",31951665282.00,NT$3.84,12.40,9.39,0,0,21,7,3.10,17.50,22.60
71,124,"Faux Products","Faux Products 200 MG Ibuprofen",52691374421.00,NT$1.21,13.30,10.30,1,0,8,11,7.72,19.70,17.30
72,125,"Faux Products","Faux Products 200 MG Acetominifen",16889345049.00,NT$2.32,11.10,9.10,0,0,31,11,15.10,5.18,8.03
73,126,"Faux Products","Faux Products HCL Nasal Spray",18083861470.00,NT$1.61,20.80,19.70,1,0,22,6,21.30,18.00,5.03
73,127,"Faux Products","Faux Products Dishwasher Detergent",41519598364.00,NT$1.74,16.70,13.70,1,0,10,14,20.60,12.20,16.30
75,128,"Faux Products","Faux Products Multi-Symptom Cold Remedy",78049750924.00,NT$0.53,14.50,12.50,0,0,26,5,8.09,17.60,7.02
75,129,"Faux Products","Faux Products Childrens Cold Remedy",94625384211.00,NT$1.55,9.49,7.48,1,0,23,13,14.20,10.60,3.49
74,130,"Faux Products","Faux Products Laundry Detergent",10393303036.00,NT$2.23,21.30,20.20,1,0,10,12,13.50,4.82,14.70
74,131,"Faux Products","Faux Products Mint Mouthwash",62304572463.00,NT$2.40,19.10,16.10,0,0,26,13,20.90,10.20,5.48
80,132,"Denny","Denny 60 Watt Lightbulb",37310257554.00,NT$1.92,20.00,18.00,1,0,14,12,5.59,12.50,20.20
56,133,"Denny","Denny Plastic Forks",90229007601.00,NT$0.70,14.00,12.00,0,0,3,6,16.70,15.40,12.00
56,134,"Denny","Denny Plastic Spoons",34472458958.00,NT$2.43,6.83,4.82,1,0,18,7,18.80,12.60,19.30
56,135,"Denny","Denny Plastic Knives",24859260916.00,NT$3.89,7.74,4.73,0,0,6,6,3.51,14.90,14.00
101,136,"Denny","Denny C-Size Batteries",94438348412.00,NT$3.87,17.40,15.30,0,0,33,10,9.70,7.86,11.00
80,137,"Denny","Denny 100 Watt Lightbulb",54062916636.00,NT$3.70,13.30,11.30,1,0,13,11,9.01,22.00,22.30
101,138,"Denny","Denny AAA-Size Batteries",26781900525.00,NT$2.70,12.30,10.30,1,0,7,13,16.30,7.58,12.50
55,139,"Denny","Denny Paper Plates",21742104887.00,NT$1.79,21.10,19.10,0,0,16,10,18.50,4.85,19.70
55,140,"Denny","Denny Paper Cups",53698855042.00,NT$1.82,6.03,4.03,0,0,4,10,3.14,7.13,14.50
80,141,"Denny","Denny 75 Watt Lightbulb",96679784655.00,NT$3.93,15.70,13.60,1,0,2,8,9.33,20.00,11.50
22,142,"Denny","Denny Toilet Bowl Cleaner",97874301075.00,NT$2.32,8.48,6.47,0,0,11,5,11.40,17.20,18.70
22,143,"Denny","Denny Counter Cleaner",31310037970.00,NT$2.46,9.39,7.39,0,0,5,8,16.00,19.50,13.40
22,144,"Denny","Denny Glass Cleaner",67840190529.00,NT$0.51,20.30,18.20,1,0,2,7,22.20,12.60,9.96
80,145,"Denny","Denny 25 Watt Lightbulb",84415823817.00,NT$2.27,21.20,20.20,0,0,25,6,6.82,14.90,4.67
101,146,"Denny","Denny AA-Size Batteries",90183742642.00,NT$3.83,14.00,12.00,1,0,35,12,8.95,12.10,11.90
101,147,"Denny","Denny D-Size Batteries",52095012068.00,NT$0.64,13.00,12.00,1,0,29,10,5.44,3.22,7.24
18,148,"Denny","Denny Paper Towels",27100697159.00,NT$3.95,8.94,6.93,1,0,17,9,4.75,17.30,18.50
18,149,"Denny","Denny Soft Napkins",48249732851.00,NT$2.49,17.60,16.60,1,0,27,6,6.87,14.60,5.81
18,150,"Denny","Denny Scented Tissue",45905964970.00,NT$3.45,18.60,16.60,1,0,15,14,11.40,16.90,20.50
18,151,"Denny","Denny Toilet Paper",36292766928.00,NT$2.91,12.30,10.30,1,0,12,13,17.60,9.81,17.50
18,152,"Denny","Denny Tissues",15871854424.00,NT$2.89,17.20,15.20,1,0,31,13,19.90,6.55,6.38
18,153,"Denny","Denny Scented Toilet Tissue",96475121378.00,NT$2.72,18.10,17.10,0,0,19,12,4.60,8.83,21.00
20,154,"Denny","Denny Room Freshener",69194105267.00,NT$1.96,16.80,13.70,1,0,16,11,16.10,9.84,21.50
40,155,"Denny","Denny Frying Pan",64154309630.00,NT$3.81,20.60,18.60,1,0,26,8,12.90,18.90,5.37
87,156,"Denny","Denny Copper Cleaner",96111059784.00,NT$0.55,21.50,19.50,0,0,20,11,17.50,21.20,20.00
47,157,"Denny","Denny Bees Wax Candles",60309030413.00,NT$2.95,20.20,18.20,1,0,18,9,9.04,22.20,20.50
87,158,"Denny","Denny Silver Cleaner",37601416707.00,NT$1.58,21.10,18.10,0,0,5,8,13.60,4.56,15.20
86,159,"Denny","Denny Copper Pot Scrubber",84939283728.00,NT$1.71,10.10,8.10,0,0,14,5,10.40,13.80,18.50
85,160,"Denny","Denny Economy Toilet Brush",31469436287.00,NT$2.13,9.18,7.18,0,0,3,9,6.91,4.92,13.80
41,161,"Denny","Denny Scissors",24142939448.00,NT$1.52,10.00,8.00,1,0,32,11,11.50,7.21,8.55
42,162,"Denny","Denny Large Sponge",18693817257.00,NT$2.85,13.80,10.80,1,0,6,8,8.34,16.30,12.40
41,163,"Denny","Denny Screw Driver",94507216811.00,NT$2.38,14.70,11.60,0,0,4,7,12.90,18.60,7.11
65,164,"Ship Shape","Ship Shape Extra Lean Hamburger",69512901902.00,NT$2.97,13.40,11.30,1,1,27,6,4.46,19.60,7.53
65,165,"Ship Shape","Ship Shape Seasoned Hamburger",90661937594.00,NT$1.75,8.26,6.26,0,0,31,10,9.36,3.99,16.00
104,166,"Robust","Robust Monthly Sports Magazine",11003258824.00,NT$2.47,11.20,10.10,1,0,31,6,6.67,18.90,14.40
108,167,"Robust","Robust Monthly Auto Magazine",91390060782.00,NT$0.60,14.40,13.30,0,0,6,11,13.80,5.88,18.30
107,168,"Robust","Robust Monthly Computer Magazine",94871278405.00,NT$1.26,10.40,8.39,0,0,23,11,11.60,8.92,9.67
105,169,"Robust","Robust Monthly Home Magazine",54495846629.00,NT$1.98,19.50,17.50,1,0,29,11,17.20,5.11,11.80
106,170,"Robust","Robust Monthly Fashion Magazine",57929857373.00,NT$3.20,9.56,8.56,0,0,23,9,5.74,4.41,9.95
61,171,"High Top","High Top Summer Squash",76792191863.00,NT$2.95,18.70,17.70,0,0,30,9,11.30,20.60,12.00
61,172,"High Top","High Top Corn on the Cob",18748942017.00,NT$3.32,16.10,14.10,0,1,3,8,12.30,18.40,4.75
61,173,"High Top","High Top Asparagus",72946912646.00,NT$1.43,21.90,20.80,0,0,13,13,22.00,9.15,7.34
61,174,"High Top","High Top Sweet Peas",50239298939.00,NT$1.71,13.40,11.30,1,0,22,8,12.30,21.00,21.80
61,175,"High Top","High Top New Potatos",97577165961.00,NT$3.85,6.82,4.82,1,1,16,8,13.00,15.40,13.20
61,176,"High Top","High Top Beets",44107318520.00,NT$2.27,12.10,10.10,1,0,29,7,10.40,14.90,8.42
61,177,"High Top","High Top Prepared Salad",36780821681.00,NT$1.66,10.50,8.50,0,0,19,14,5.00,16.20,3.30
61,178,"High Top","High Top Onions",42548740506.00,NT$1.33,19.50,16.50,1,1,25,7,20.30,18.20,12.30
61,179,"High Top","High Top Green Pepper",83242968916.00,NT$2.75,19.70,18.70,0,1,2,6,3.93,15.10,21.60
61,180,"High Top","High Top Shitake Mushrooms",34346523880.00,NT$0.69,12.30,11.30,0,0,17,9,17.30,18.20,10.90
61,181,"High Top","High Top Lettuce",79397689700.00,NT$0.93,16.10,14.10,0,1,23,5,16.10,15.10,14.50
61,182,"High Top","High Top Elephant Garlic",89739010930.00,NT$1.84,9.05,6.05,0,1,11,12,13.20,6.07,13.50
61,183,"High Top","High Top Red Pepper",80125812888.00,NT$2.41,7.06,5.05,1,0,22,8,4.13,19.50,18.60
61,184,"High Top","High Top Garlic",83607030510.00,NT$3.40,20.00,18.00,1,1,22,13,22.70,11.80,6.41
61,185,"High Top","High Top Potatos",43231598734.00,NT$0.57,9.30,7.30,1,0,24,12,11.40,8.03,4.14
61,186,"High Top","High Top Cauliflower",82048452496.00,NT$2.23,18.70,17.70,0,0,20,7,9.53,13.40,8.09
61,187,"High Top","High Top Tomatos",10910786986.00,NT$1.32,14.80,13.80,0,1,15,6,12.60,13.40,3.67
61,188,"High Top","High Top Mushrooms",18965407013.00,NT$2.58,14.70,11.60,1,1,14,8,22.30,19.20,10.60
61,189,"High Top","High Top Baby Onion",61946336627.00,NT$3.45,8.51,6.51,1,0,4,13,5.62,8.03,21.80
61,190,"High Top","High Top Dried Mushrooms",39238722920.00,NT$3.74,18.70,17.70,1,1,29,6,9.59,17.90,5.47
61,191,"High Top","High Top Fresh Lima Beans",86576589941.00,NT$2.87,12.60,9.60,1,0,22,7,19.90,14.40,16.70
61,192,"High Top","High Top Squash",33106742501.00,NT$1.52,10.70,7.69,0,1,4,7,20.30,15.60,14.20
99,193,"High Top","High Top Limes",25780245661.00,NT$3.68,11.80,9.80,1,0,11,13,8.64,14.90,18.30
67,194,"High Top","High Top Firm Tofu",31548164486.00,NT$3.36,11.60,8.60,1,1,21,11,18.80,7.38,10.20
1,195,"High Top","High Top Almonds",83459433913.00,NT$1.77,8.72,6.72,0,1,24,13,17.60,13.00,10.40
99,196,"High Top","High Top Macintosh Apples",58465119004.00,NT$2.47,12.10,10.10,1,1,27,10,7.29,19.10,16.20
99,197,"High Top","High Top Golden Delcious Apples",79614154696.00,NT$2.91,21.50,19.50,0,1,29,7,15.40,18.90,17.60
99,198,"High Top","High Top Red Delcious Apples",78738434910.00,NT$0.92,17.20,14.20,1,1,27,13,6.26,7.83,5.92
99,199,"High Top","High Top Lemons",69125236868.00,NT$1.67,19.20,18.20,1,0,33,10,19.80,4.92,4.65
99,200,"High Top","High Top Fancy Plums",72606454491.00,NT$2.65,6.74,4.73,0,0,12,6,8.38,17.60,20.40
99,201,"High Top","High Top Plums",32231022715.00,NT$2.25,14.70,12.60,0,0,29,14,10.80,11.80,7.33
99,202,"High Top","High Top Peaches",71047876477.00,NT$1.49,11.80,8.80,0,0,24,6,6.61,10.70,10.10
61,203,"High Top","High Top Broccoli",89910210967.00,NT$0.63,8.85,5.85,1,0,27,5,6.17,12.00,10.30
99,204,"High Top","High Top Mandarin Oranges",97964830994.00,NT$1.60,13.60,10.60,0,0,31,7,22.60,17.00,20.70
1,205,"High Top","High Top Mixed Nuts",86064931750.00,NT$2.71,13.90,11.80,1,0,9,5,4.96,11.80,5.00
1,206,"High Top","High Top Canned Peanuts",50672228932.00,NT$2.11,10.90,7.89,0,1,15,7,22.60,19.60,17.80
61,207,"High Top","High Top Sweet Onion",98010095953.00,NT$1.24,13.50,11.50,1,1,7,14,16.00,17.80,11.30
99,208,"High Top","High Top Cantelope",44540248513.00,NT$2.47,13.40,10.30,1,1,23,6,6.06,21.40,8.32
99,209,"High Top","High Top Honey Dew",37213751673.00,NT$1.87,17.30,15.20,1,0,16,6,7.99,18.60,21.40
99,210,"High Top","High Top Fuji Apples",42981670498.00,NT$1.54,17.00,14.00,0,1,27,10,16.10,4.23,13.80
1,211,"High Top","High Top Walnuts",94892939925.00,NT$2.72,14.50,12.50,1,0,1,7,4.60,12.10,14.00
99,212,"High Top","High Top Oranges",69898625016.00,NT$1.66,9.78,7.77,0,0,14,9,13.10,4.27,12.30
99,213,"High Top","High Top Tangerines",91047660708.00,NT$0.56,7.22,5.21,1,0,11,11,4.08,7.71,7.56
1,214,"High Top","High Top Party Nuts",35291112065.00,NT$2.82,21.60,19.60,1,1,18,13,8.56,14.50,4.93
24,215,"Tip Top","Tip Top Lox",80295071005.00,NT$0.79,14.10,11.10,1,0,10,13,12.10,12.00,11.60
