total size,200,,ID,probability,actual,probability,actual,probability,actual
,,,170,0.1472,P,0.1496,N,0.1479,P
,,,171,0.1453,N,0.1415,N,0.1427,N
,,,172,0.1363,P,0.134,P,0.1338,N
,,,173,0.1299,N,0.1299,N,0.1338,N
,,,174,0.126,N,0.1299,N,0.1293,N
,,,175,0.1209,N,0.1218,P,0.1212,N
,,,176,0.1178,N,0.1168,N,0.1173,N
,,,177,0.1124,N,0.1126,N,0.1153,N
,,,178,0.1076,N,0.1059,N,0.1062,P
,,,179,0.1021,N,0.1021,N,0.1022,N
,,,180,0.0961,N,0.096,N,0.0964,P
,,,181,0.0949,P,0.091,P,0.0921,P
,,,182,0.0878,N,0.087,N,0.0896,P
,,,183,0.0825,N,0.084,N,0.0829,P
,,,184,0.0801,P,0.0785,P,0.0786,P
,,,185,0.0729,N,0.0723,N,0.0732,P
,,,186,0.069,N,0.0681,N,0.0678,P
,,,187,0.0632,N,0.0624,N,0.0642,N
,,,188,0.0578,N,0.0602,P,0.0589,N
,,,189,0.055,N,0.0545,P,0.0545,N
,,,190,0.0482,P,0.0493,N,0.0482,P
,,,191,0.044,N,0.0432,P,0.0443,N
,,,192,0.0389,P,0.0385,P,0.0385,N
,,,193,0.035,P,0.0336,P,0.035,P
,,,194,0.0298,N,0.0298,N,0.0299,N
,,,195,0.0246,N,0.0242,N,0.0251,N
,,,196,0.0195,P,0.0193,P,0.0195,P
,,,197,0.015,N,0.0148,N,0.0146,P
,,,198,0.0098,P,0.01,N,0.0096,P
,,,199,0.0048,N,0.005,P,0.0049,N
,,,200,0,P,0,N,0,N
