device_dev_name,device_family_name,device_hashed_mac,device_os_name,device_type_name,device_vendor_name,event_protocol_id,event_flow_outbound_or_inbound,event_role_device_or_router,event_role_server_or_client,event_rule_category,event_rule_id,event_rule_name,event_rule_reference,event_rule_severity,event_self_ipv4,event_time,router_ip
Windows,Computer,7b63e7c77e96951b23544d95813cd92af991569d,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1120847,WEB Cross-Site Scripting -7,CVE-2011-0653; CVE-2011-1263; CVE-2011-1670;CVE-2015-1628; MS15-026,4,192.168.50.40,12/1/2016 1:51,204.161.54.198
Windows 8/10,Computer,4528a18eb76e7879e28032a3e4e0f1e3721e7188,Windows 8/10,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.2.79,12/23/2016 0:19,161.39.187.193
Windows,Computer,7d578bcefdb5317bec24edcc97aa662746750775,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.27,12/11/2016 0:25,210.211.27.20
Windows 8/10,Computer,542de6e26373542d8692dc81c3f960f33f729119,Windows 8/10,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.64.177,12/21/2016 2:59,15.223.48.102
Windows,Computer,b756c447f93099d654a5b1a7c528b7dc796a4e94,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.7.236,12/31/2016 21:13,113.57.163.68
Windows 7,Computer,9408c11ed2079d07eb09c82ddb1fbe7a494d4eb3,Windows 7,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,10.47.10.15,12/8/2016 6:13,166.196.235.190
Windows,Computer,9d52d6376b58c681ba44edce865bdebc8df7b05b,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1059684,EXPLOIT Bitcoin/LiteCoin/Dogecoin Mining Activity -1,CVE-2014-unknown; http://mining.bitcoin.cz/stratum-mining,4,192.168.1.201,12/21/2016 16:05,157.128.191.88
Windows,Computer,320ae6360a446bd6931b5e92af59720210adcf1a,Windows,Desktop/Laptop,Microsoft Corp.,17,outbound,device,client,Access Control,1056247,SHELLCODE NOP Sled,http://en.wikipedia.org/wiki/NOP_slide; CVE-2005-0211,4,192.168.0.38,12/4/2016 15:35,173.145.232.46
Windows,Computer,f471c4976b8390fc6491e078ed55755e5536cad7,Windows,Desktop/Laptop,Microsoft Corp.,17,outbound,device,client,Access Control,1056247,SHELLCODE NOP Sled,http://en.wikipedia.org/wiki/NOP_slide; CVE-2005-0211,4,192.168.1.140,12/4/2016 12:06,177.206.69.141
Windows,Computer,152c7067524ad44e9422740826174b91d13e4e2b,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1056078,WEB Hashtable Collisions,CVE-2011-3414; CVE-2011-5034; CVE-2011-5035; CVE-2011-4858; CVE-2011-4885; msf,5,192.168.1.88,12/31/2016 12:16,112.225.203.168
Windows,Computer,a58914d550fc3f3d88dedafc82b6b7ba67d93288,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1054846,WEB cross site scripting attempt -8,none,4,192.168.1.201,12/23/2016 14:25,166.118.92.148
Windows,Computer,cea0e5c776fe19ae4a42d342d6e0ef2d170a75ee,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1059684,EXPLOIT Bitcoin/LiteCoin/Dogecoin Mining Activity -1,CVE-2014-unknown; http://mining.bitcoin.cz/stratum-mining,4,192.168.1.170,12/6/2016 0:43,2003:72:4f47:eb01:ae9e:17ff:fe93:e540
Windows,Computer,0fe25190e8457d4ef7736800363fa0f83802213d,Windows,Desktop/Laptop,Microsoft Corp.,6,inbound,device,server,Web Attack,1050700,WEB Cross-site Scripting (document.cookie) attempt,CVE-2012-0007; CVE-2012-0010; CVE-2012-1861; CVE-2013-6039; CVE-2013-1942; CVE-2013-3082; MS12-050; CVE-2015-5714; CVE-2015-2321,5,192.168.1.36,12/3/2016 9:53,11.32.191.86
Windows,Computer,a97c42ac4164b0b7a1eb949b7b0f6b70ee42f759,Windows,Desktop/Laptop,Microsoft Corp.,6,inbound,device,server,Access Control,1110895,WEB-CLIENT WScript.Shell Remote Code Execution -1 (Ransomware Attack Vector),CVE-2006-4704; CVE-2015-6922; msf,5,25.101.59.197,12/24/2016 9:24,159.24.195.174
Windows,Computer,fea560c165cd1fc1837adefd585cb03712c4624b,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1120847,WEB Cross-Site Scripting -7,CVE-2011-0653; CVE-2011-1263; CVE-2011-1670;CVE-2015-1628; MS15-026,4,192.168.1.99,12/29/2016 17:29,162.188.235.2
Windows,Computer,b4728d2bcdd21224de3688ac1c6c50511030992a,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.58,12/14/2016 2:51,139.114.26.105
Windows,Computer,13bcaffa250914c6ce9fde3c4f25b761eceea41a,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.2.201,12/13/2016 4:57,16.223.131.141
Windows,Computer,5a6ed294b657b03316ec6beb40eadc7ca63b7172,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.2.184,12/10/2016 7:57,13.61.220.25
Windows,Computer,61f185ab1b8f50dc980b2b7e80cf1b2b46019fe8,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.175,12/27/2016 3:43,149.129.223.249
Android 4.2-5.1,Handheld,6ad210bf3190e8746c0251766e5e9eb6ad7d21ce,Android 4.2-5.1,Android Device,Google Inc.,6,outbound,device,client,Access Control,1059877,WEB Directory Traversal -8,CVE-2012-5972; CVE-2013-2097; CVE-2013-4547; CVE-2015-2995; msf,5,192.168.1.227,12/13/2016 17:03,195.35.9.43
Windows,Computer,ccab236cbf58c34c1af93fe542dc439cbe37b3a2,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,2.113.224.224,12/23/2016 15:37,187.165.123.65
Windows,Computer,fa4d48523cb57c7754d230f6f419a99d8fd336d2,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,192.168.1.21,12/16/2016 14:57,91.231.247.114
Windows,Computer,89d4ebecf6c58a6e54005d7ec93dede138946254,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.195,12/12/2016 17:12,161.59.180.207
Windows,Computer,5a501c4fb91b3573200907f6cb53c4a60138b8bb,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.0.11,12/1/2016 16:18,204.136.165.172
Windows,Computer,0c1cd01d8ef53fd56784acd6f8a22f072455340e,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.2.16,12/6/2016 11:31,210.170.104.224
Windows,Computer,1aa6363e99b5d318876d7307c672cedadb283ab7,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.134,12/2/2016 14:28,190.44.220.54
Windows,Computer,f5e6cf6923377809519112f6f340f91b54f2afa0,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.2.111,12/13/2016 12:29,15.195.104.203
Windows,Computer,ccfab6cf68e9427b945926cfa26d099b921896db,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,192.168.1.251,12/24/2016 15:54,50.159.248.148
Windows,Computer,6fa97303390f134da528ace1cd260592807f1443,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.9,12/30/2016 8:44,204.165.107.77
Windows,Computer,1ca55061b60162d47b28f7a3ae1260ea6785ddcc,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.134,12/30/2016 2:33,49.133.244.240
Windows,Computer,17964bfbae46d00c1fceae355b42bc9681995c27,Windows,Desktop/Laptop,Microsoft Corp.,17,outbound,device,client,Access Control,1056247,SHELLCODE NOP Sled,http://en.wikipedia.org/wiki/NOP_slide; CVE-2005-0211,4,192.168.2.7,12/10/2016 22:08,9.29.51.34
Windows,Computer,9a28e6e354916d4cb57c9fe3dad09200a4985d22,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.243,12/26/2016 17:35,17.35.125.139
Windows,Computer,edbf4d55606c330efd9415e8f2f54f9aa8bdd9d3,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1059684,EXPLOIT Bitcoin/LiteCoin/Dogecoin Mining Activity -1,CVE-2014-unknown; http://mining.bitcoin.cz/stratum-mining,4,192.168.1.50,12/17/2016 16:35,173.251.141.113
Windows XP,Computer,4e70baedf76f23a6756c9aea2bca222579f8d273,Windows XP,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,10.0.1.249,12/31/2016 3:44,55.15.150.8
Windows,Computer,823e7880ae0be20b414b45e874e5b4af6701fa98,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,192.168.1.100,12/17/2016 13:43,172.235.105.115
Windows,Computer,6450249cab95cc109ce2cf77c50db0481c05f9b2,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.226,12/13/2016 22:26,194.64.253.104
Android 6.0,Handheld,2da72d386e05378e732704e2fae57f1960c8f6d6,Android 6.0,Android Device,Google Inc.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.63,12/31/2016 7:46,193.174.168.204
Nokia Internet Tablet,Handheld,76ccce976c51bfd86f3d91fb52a4c25454dab3ae,Maemo,PDA,Maemo,6,outbound,device,client,Access Control,1056078,WEB Hashtable Collisions,CVE-2011-3414; CVE-2011-5034; CVE-2011-5035; CVE-2011-4858; CVE-2011-4885; msf,5,192.168.1.204,12/7/2016 16:39,235.88.74.190
Windows,Computer,2faa6d5be140cbdb7c9f4612a55fbced85cc55b4,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1059684,EXPLOIT Bitcoin/LiteCoin/Dogecoin Mining Activity -1,CVE-2014-unknown; http://mining.bitcoin.cz/stratum-mining,4,192.168.1.10,12/28/2016 3:37,155.40.254.111
Windows,Computer,5c3424ff27d7ac2408649140f05dc9a836da3de6,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,192.168.0.137,12/9/2016 14:41,191.255.31.195
Windows,Computer,8b094f6cd12f39edf37fa1b817289ec3a4f936d0,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1059684,EXPLOIT Bitcoin/LiteCoin/Dogecoin Mining Activity -1,CVE-2014-unknown; http://mining.bitcoin.cz/stratum-mining,4,192.168.1.29,12/2/2016 23:06,135.200.59.73
Windows,Computer,5a9d89114ee37c1a3d58890a289d6a2a4f4824a0,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.115,12/24/2016 14:26,2001:558:6040:53:c95e:2625:2bcc:e924
Windows,Computer,3b54f3d9bde5cd4b780c004d70c579963cb4b2dc,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,10.23.0.77,12/14/2016 15:51,157.134.140.184
Windows 8/10,Computer,17f95447dc9ea3ca7d98f5056fd1a0ad50d60a1e,Windows 8/10,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,192.168.1.10,12/8/2016 3:45,180.69.140.144
Windows,Computer,bfa19a347f9a5603ccc9a46d34922660c77308cc,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1059684,EXPLOIT Bitcoin/LiteCoin/Dogecoin Mining Activity -1,CVE-2014-unknown; http://mining.bitcoin.cz/stratum-mining,4,192.168.1.9,12/6/2016 19:10,184.113.104.112
Nokia Internet Tablet,Handheld,d38ac41e3a90e7f8bb8bf404d3c0443cf8350dc5,Maemo,PDA,Maemo,6,outbound,device,client,Access Control,1056078,WEB Hashtable Collisions,CVE-2011-3414; CVE-2011-5034; CVE-2011-5035; CVE-2011-4858; CVE-2011-4885; msf,5,192.168.11.67,12/30/2016 12:06,170.41.50.228
Windows,Computer,e950397070ff0116bef46fd28e41554fda14e80d,Windows,Desktop/Laptop,Microsoft Corp.,17,outbound,device,client,Access Control,1056247,SHELLCODE NOP Sled,http://en.wikipedia.org/wiki/NOP_slide; CVE-2005-0211,4,192.168.2.14,12/25/2016 10:03,174.81.37.227
Windows,Computer,f0e8d9ae635fe87f1af750ef9ca4775df609e4f0,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.2.99,12/27/2016 11:53,197.112.158.131
Windows,Computer,4035aeacb21a63c53b0e6c6685a3382ef30cf524,Windows,Desktop/Laptop,Microsoft Corp.,17,outbound,device,client,Access Control,1056247,SHELLCODE NOP Sled,http://en.wikipedia.org/wiki/NOP_slide; CVE-2005-0211,4,192.168.1.74,12/7/2016 23:14,177.204.198.46
Windows,Computer,8db3a01beccb88238c2aa59e3a26daf49b3ffe32,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,192.168.1.124,12/20/2016 11:05,213.188.53.225
Xbox,Game Console,36e9af190e46ae99f0bc66ab61ec14901c009187,Xbox,Game Console,Microsoft Corp.,6,outbound,device,client,Web Attack,1120847,WEB Cross-Site Scripting -7,CVE-2011-0653; CVE-2011-1263; CVE-2011-1670;CVE-2015-1628; MS15-026,4,192.168.0.93,12/29/2016 4:41,162.190.81.100
Windows 7,Computer,07c4426ca48dc54a5916b08cf15b9b0ffb1e1fd3,Windows 7,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.199.15,12/6/2016 6:49,204.183.121.64
Windows,Computer,a13ce2b3437495b4def880f750de0c36990a64c5,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.115,12/27/2016 5:57,210.13.54.153
Android 4.2-5.1,Handheld,cda4b0732ac0a08e37f8f643d72344e93d4fe071,Android 4.2-5.1,Android Device,Google Inc.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.9.117,12/12/2016 13:11,196.128.55.37
Windows,Computer,3c10620c766854ebc9bd7c38fc0b27b7e7d231ed,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.83,12/20/2016 1:11,114.138.218.39
Windows,Computer,8a09735b4500f34f516fb6e53ea9a2c660403cdb,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,192.168.1.176,12/27/2016 14:11,43.153.207.109
Android 4.2-5.1,Handheld,24b300725303598a6d7229556cb1c21224b63dfb,Android 4.2-5.1,Android Device,Google Inc.,6,outbound,device,client,Web Attack,1054846,WEB cross site scripting attempt -8,none,4,192.168.2.163,12/24/2016 14:46,171.4.122.238
Android 4.2-5.1,Handheld,ed4d9b1756714017e3863b992017f86e8929c660,Android 4.2-5.1,Android Device,Google Inc.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.156,12/5/2016 13:45,162.81.103.250
Xbox,Game Console,3034eca28d291d210e14dfca176f1a41cdeccd1c,Xbox,Game Console,Microsoft Corp.,6,outbound,device,client,Web Attack,1055106,WEB PHP Arbitrary Code Injection -1,CVE-2011-4449;CVE-2011-4825;CVE-2011-4828;CVE-2012-0297;CVE-2012-0911;CVE-2012-1153;CVE-2013-0803;CVE-2013-1412;CVE-2013-1010;CVE-2013-3629;CVE-2013-3631;CVE-2013-5696;CVE-2014-1610;CVE-2014-2268;CVE-2014-5519;CVE-2014-7146;CVE-2014-8791;CVE-2014-8684;msf,5,192.168.1.68,12/12/2016 18:54,156.250.43.248
Android 4.2-5.1,Handheld,cc415294440293bd1e5777af4b9c7b57a54d0a18,Android 4.2-5.1,Android Device,Google Inc.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.175,12/30/2016 14:58,161.144.0.99
Windows,Computer,18e0b4feb9c384527bfe9bcf2c7381aded48a28a,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,10.0.0.8,12/28/2016 17:11,168.105.205.232
Windows,Computer,2a0de1b6065bcbdb2c40ea6b850edcc97fc1bc16,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,192.168.0.3,12/5/2016 10:42,160.33.45.110
Android 4.2-5.1,Handheld,e1c98400ae9608b90a3035f647e2d44b213d41d1,Android 4.2-5.1,Android Device,Google Inc.,6,outbound,device,client,Access Control,1059877,WEB Directory Traversal -8,CVE-2012-5972; CVE-2013-2097; CVE-2013-4547; CVE-2015-2995; msf,5,192.168.2.218,12/17/2016 7:12,125.205.154.221
Android 4.2-5.1,Handheld,d6297dbfab1b17108839867d670cf3fd642f7e24,Android 4.2-5.1,Android Device,Google Inc.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.89,12/16/2016 22:29,174.57.237.8
Windows,Computer,7729fc62f8f10fe3c06a72849dc8a3e4846ef6f4,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,192.168.11.3,12/2/2016 12:41,208.191.213.155
Windows,Computer,ac18bdd832e2859d63bde7b148069f640b5ca6bd,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,10.10.10.237,12/11/2016 2:59,170.118.187.208
PXE Client,Computer,7095ea7852ef1edc4e620205091998c681258fad,Others,Desktop/Laptop,Others,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.23,12/3/2016 3:40,157.16.224.246
Windows 7,Computer,262d94eb897b880c5f5558c719bbad0caf30dac6,Windows 7,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1055396,WEB Cross-site Scripting -9,CVE-2011-2260;CVE-2011-2710;CVE-2012-0017;CVE-2012-0551;CVE-2012-0719;CVE-2012-1859;CVE-2012-4939;CVE-2013-5013;CVE-2014-2092;CVE-2013-7051;CVE-2014-1754;CVE-2014-6325;CVE-2014-6535;CVE-2014-2856;CVE-2014-5360;CVE-2016-0712;CVE-2016-3212;CVE-2016-6837,5,192.168.2.184,12/14/2016 8:02,199.129.64.81
Windows 7,Computer,7dbee6cb790fb889c21f0b7e8da32d1d38770f1e,Windows 7,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1059684,EXPLOIT Bitcoin/LiteCoin/Dogecoin Mining Activity -1,CVE-2014-unknown; http://mining.bitcoin.cz/stratum-mining,4,192.168.1.185,12/16/2016 17:48,9.139.254.43
Windows 7,Computer,d07ef09518b019e8d2fc3bf06ac12a5fff80d8b4,Windows 7,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1059684,EXPLOIT Bitcoin/LiteCoin/Dogecoin Mining Activity -1,CVE-2014-unknown; http://mining.bitcoin.cz/stratum-mining,4,10.0.4.69,12/16/2016 11:57,8.87.97.99
Nokia Internet Tablet,Handheld,5648c74fa9d13510064616bba9cd9db59b105b91,Maemo,PDA,Maemo,6,outbound,device,client,Access Control,1056078,WEB Hashtable Collisions,CVE-2011-3414; CVE-2011-5034; CVE-2011-5035; CVE-2011-4858; CVE-2011-4885; msf,5,192.168.11.77,12/1/2016 20:09,170.41.50.228
Windows,Computer,260b0fd207169ba0f5cb1101576a112ac2a9e333,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.2.224,12/23/2016 3:01,157.20.31.77
Windows,Computer,20ac6c4aba92aae5400d9aeb2d9dfb83a85c2cec,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Web Attack,1130593,WEB Microsoft IIS HTTP.sys Remote Code Execution Vulnerability (CVE-2015-1635),CVE-2015-1635; MS15-034,5,192.168.1.166,12/7/2016 16:50,9.232.208.80
Windows,Computer,49662d5e65a2816c5701115f8d21aa51c35c5124,Windows,Desktop/Laptop,Microsoft Corp.,6,outbound,device,client,Access Control,1050015,WEB Cross-site Scripting -34,CVE-2011-2133; CVE-2014-4116,4,192.168.1.181,12/23/2016 12:50,215.175.146.94
Windows,Computer,a6759419aac4f7dc19e4be6acfeee3182784bd0b,Windows,Desktop/Laptop,Microsoft Corp.,17,outbound,device,client,Access Control,1056247,SHELLCODE NOP Sled,http://en.wikipedia.org/wiki/NOP_slide; CVE-2005-0211,4,192.168.1.237,12/21/2016 19:38,169.230.37.115
