f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,target
27.1578,6.6527,21.9756,10.8139,6.6173,3.0944,5.8491,6.9620,10.6737,6.1286,10.2399,17.2793,-0.1705
29.5351,7.4651,20.1806,1.2162,18.2504,3.0165,3.8337,29.6044,8.4264,20.7618,10.3774,14.5088,16.9326
8.5944,12.9398,8.2088,11.4353,15.1240,1.1603,5.8081,11.1382,12.7285,17.7343,5.9314,4.7637,17.8646
11.3507,10.3296,12.1825,16.9459,6.5323,1.4225,3.4059,6.5784,10.4883,8.8337,2.8283,21.3754,6.7118
6.1799,10.3647,7.9097,4.9783,16.4808,1.5060,4.3481,17.5613,5.4229,20.2457,5.9891,11.6442,17.5266
9.5424,11.1507,8.4536,14.2393,12.4028,3.1220,2.1408,7.6857,13.7367,8.8801,3.7172,4.7103,17.1521
16.2908,8.5041,19.4328,14.6868,6.9495,1.5782,5.9230,9.6672,13.6848,12.8431,10.4428,17.8654,3.0181
9.0289,11.4951,8.9109,13.5805,12.7624,2.9614,3.4260,8.3875,8.9297,15.2336,5.8170,19.7428,10.7788
17.1998,4.6697,20.6897,6.1885,13.3168,0.8738,5.8222,8.8796,14.9818,12.8594,10.3664,2.4969,7.0138
6.0584,10.1903,8.0002,6.5544,10.1788,3.2153,2.1830,6.4123,13.0070,6.9261,4.3710,10.7258,12.9451
9.4280,10.1440,8.6775,16.4227,5.0906,0.6841,3.9037,29.9210,7.4298,20.6960,5.5955,3.9070,18.4414
9.1306,11.4367,9.5034,2.4810,18.4307,2.0410,3.6207,10.7849,9.7283,12.4704,5.7628,2.2070,21.5122
7.5342,12.0567,9.6536,15.7054,11.6782,3.1233,5.3282,10.5120,13.9538,15.1784,3.1723,15.2444,12.7600
28.8945,4.3118,19.6730,15.3215,3.9662,0.7195,3.6779,8.0054,15.9984,17.2512,10.9723,11.2460,-4.9931
28.6021,8.3116,21.2033,5.5524,18.5153,0.9127,3.5373,14.2855,10.6568,14.5727,10.7720,16.2564,12.4192
15.9941,10.3430,14.1160,4.6674,15.6958,3.5906,5.8932,16.9338,6.8541,21.3667,7.0426,21.7320,10.4280
10.8994,12.2152,14.1065,4.7223,15.2766,2.8604,5.2890,13.8807,9.3282,20.8225,2.4510,0.9388,18.1560
30.7416,7.8311,19.7221,3.6302,17.0479,3.2793,5.5531,8.8921,11.5807,13.3955,10.4627,8.7758,8.3302
26.9040,4.0703,20.1405,11.8619,7.4287,3.8086,5.5519,12.4146,10.4125,14.8819,10.9068,12.1718,-1.2521
14.4346,12.2297,13.5432,5.1961,14.7094,1.8889,3.6425,8.8030,10.2818,13.7177,2.9793,1.2946,18.0414
8.6531,8.0998,14.9736,1.1908,18.7061,2.3045,1.6177,7.3670,10.3897,6.7518,9.8762,1.5358,19.0773
12.1261,8.3253,20.1437,4.0135,14.7294,3.9709,3.4604,8.1267,13.8971,9.1259,10.1980,12.0187,11.3407
8.7828,12.7254,7.7662,6.2415,13.9200,3.5279,4.3841,8.8349,12.2960,9.0435,5.1741,1.4575,19.6069
11.5785,13.6769,13.6719,2.6151,15.3115,2.9745,5.7347,14.6509,8.7534,14.5066,5.1797,11.9163,18.7306
31.2374,7.1079,20.8658,16.9642,2.6632,2.6792,5.8712,7.5477,13.3466,9.0174,10.0506,16.0485,-3.1825
23.5532,6.8298,19.4795,9.9998,10.3297,0.5866,4.8081,8.8700,13.3135,14.9353,10.0337,11.6591,3.6374
8.7920,11.2538,15.2477,18.6126,1.9911,1.6405,3.7620,8.1463,10.6995,6.0055,3.8835,12.2752,8.9129
7.1296,11.6544,7.0631,11.4815,8.9542,3.5370,0.7056,10.7908,15.7011,14.7584,3.6140,5.0906,15.4018
6.6214,11.3387,7.2832,17.4568,6.2737,1.9519,3.7833,15.5758,11.3904,15.2097,5.7661,9.5404,13.3718
26.1316,8.9995,20.7336,14.2172,8.6735,2.0041,5.1995,12.9931,15.4854,15.6563,10.1062,13.9205,5.3631
24.2631,8.2070,21.4720,13.2121,12.2231,2.9937,3.4700,7.4091,12.2570,7.8146,10.3599,4.3541,10.3920
13.1464,5.7676,19.2247,12.6765,5.3403,3.8804,3.8228,15.3204,6.2725,21.8241,10.2216,19.2874,-0.8725
8.7355,13.0465,7.4361,15.5770,8.3925,2.4128,4.2616,12.1219,11.6486,12.0325,3.8943,0.0056,18.0398
11.5142,14.5838,16.1131,12.5772,12.4404,3.0567,2.5997,17.9576,7.2530,21.0828,9.6555,18.0310,16.6956
13.2337,11.3293,14.5294,11.7981,10.1926,3.8653,5.4469,11.5387,8.9111,15.7237,9.9030,10.9359,10.1315
29.8156,7.9505,19.0738,18.8151,2.2584,3.4431,3.8777,26.2874,8.3556,20.4302,10.7824,4.6729,7.4992
15.7006,6.0066,20.6081,14.3441,6.4100,2.9810,4.8184,10.2556,13.2452,17.2044,10.7666,14.9207,-0.3124
14.0802,8.0237,12.3241,8.1334,12.8082,1.4760,3.3330,10.0840,13.3460,14.3469,3.2049,15.7078,9.3167
9.6549,11.8294,6.8119,12.5960,8.1639,0.3262,4.5123,10.5686,9.8323,12.2140,5.5651,15.9513,11.2261
6.4491,11.0462,8.2665,6.0870,14.7762,2.7035,4.8411,12.7809,14.2213,14.1852,3.0194,11.4942,16.6397
11.4802,10.8558,17.0865,12.9814,10.8625,2.7690,4.7173,14.9940,13.0671,16.5420,10.2020,10.5901,12.7933
9.7890,11.8976,8.3112,6.4014,18.3771,2.4991,4.7766,15.6196,8.3398,14.7737,3.5178,8.6245,21.7403
27.9598,4.5755,19.0966,17.1601,1.8811,3.2378,1.3400,22.5769,4.7384,21.9347,10.8561,1.0156,3.5429
22.3770,7.2317,20.7451,14.9238,12.9475,2.6588,5.9223,15.6260,6.6764,21.0700,10.4114,10.2445,7.0033
15.4669,15.7107,16.9043,16.9992,5.9864,0.0626,4.9604,24.6866,8.4447,21.3834,7.2138,20.8056,15.6376
6.6682,10.7378,7.1942,9.1982,10.8240,1.7927,5.2632,15.7820,13.9645,14.9529,5.5642,4.1972,16.6060
31.1377,7.8645,20.4773,13.2433,5.7476,1.6728,3.0281,8.0631,9.6570,12.4851,10.9818,2.3956,3.8259
15.8735,14.6724,16.4430,8.1962,13.7446,2.9820,5.9483,6.4795,13.2150,8.2794,10.9484,6.2547,16.7526
20.9710,9.9428,20.0514,6.1118,15.4363,2.2714,4.1917,8.5613,13.4990,13.9288,10.4882,18.7437,8.8776
8.5123,13.5179,8.0147,17.5638,1.9089,3.7191,4.2425,13.1241,12.3908,16.6710,4.1861,20.1620,6.9247
22.6176,8.4268,19.4140,18.7105,6.0953,2.9548,5.1309,7.0894,13.0336,6.6870,10.8027,4.0868,6.1872
9.2044,9.6775,15.1980,10.4537,8.7289,2.6577,3.5212,27.4137,9.5190,20.1132,3.6273,18.4080,15.1774
17.7960,5.9818,20.8221,12.7957,12.1434,3.6987,5.9505,15.8776,9.0009,19.7347,10.0526,21.5519,3.0943
15.7080,6.8621,20.9359,9.7880,10.1873,3.9919,0.1082,6.6754,13.5370,8.2794,10.5368,4.6466,9.3960
7.3013,10.5843,6.7143,18.1882,4.9839,2.2035,4.4881,8.6572,12.6083,9.0145,5.0180,18.8340,7.2971
13.8982,13.7339,13.9405,17.5222,6.9122,1.4175,5.0141,13.3877,10.9700,13.9605,7.3813,18.9087,11.2196
9.9052,12.6903,9.0541,12.1198,11.8983,2.2848,5.5042,14.7412,11.8031,14.4853,5.1510,10.8337,16.6687
13.2316,10.4319,16.6974,14.7472,7.3312,3.4336,5.5508,8.5349,10.7585,6.1003,6.7235,5.1145,11.3982
13.2142,8.2810,16.7882,16.2799,1.8455,2.4345,5.1038,20.4009,8.8517,19.8260,9.4711,16.6614,3.5558
8.9627,10.6268,7.9768,11.6638,7.2837,0.7424,3.1398,13.7327,14.0297,15.9922,5.6636,19.5015,9.3270
9.7456,13.5739,6.3807,5.8973,15.4828,1.3687,5.4732,26.0493,8.7114,20.5538,5.5953,13.1509,23.3813
18.7854,7.2996,19.5639,15.6902,5.6119,3.1848,5.7480,9.8856,12.4882,7.5369,10.0502,21.4526,1.3645
24.5962,8.0380,20.0824,6.0493,15.5624,2.9624,0.6736,13.0766,15.3813,12.4206,10.3572,10.7588,13.2644
26.7648,9.7535,19.3753,18.8744,2.3648,1.8234,5.3989,11.2207,13.5518,14.7280,10.4008,16.3556,0.3309
12.0825,14.1487,12.4928,4.5388,14.3886,0.7676,5.0451,29.7592,9.7979,21.8887,2.7790,12.0567,25.3622
7.7152,12.6806,8.0510,14.2995,1.7384,2.8042,1.0971,14.7039,4.1599,20.6353,3.0057,8.1970,10.3853
11.4594,14.7017,15.7136,9.2639,10.9972,2.4048,3.9757,9.3895,12.6844,7.0948,2.3153,8.0297,19.4606
16.4498,9.7300,21.9311,12.5516,6.3510,3.7974,2.2321,10.0159,11.8702,15.6924,10.6400,11.6565,5.7166
10.1656,14.4077,15.1330,8.4423,14.0466,3.1580,5.6949,10.7817,9.0330,14.3968,2.0159,5.1160,19.2541
23.1250,4.5423,21.7701,12.4757,12.3787,2.7561,4.6691,8.8882,10.9403,8.9802,10.6089,1.6002,7.3748
17.0888,4.0723,21.4517,5.3396,14.1004,3.8525,5.1055,7.5976,10.3184,9.0957,10.3377,7.5297,5.8605
15.8082,5.6844,19.5009,4.2880,18.5241,0.1641,4.8768,7.0862,10.5772,8.6626,10.2669,6.5255,12.1244
13.4924,9.1744,13.3701,10.2729,9.6750,3.9220,3.8085,8.8956,12.8635,9.9172,2.9188,21.7601,7.0178
29.1172,7.9327,21.6547,3.5109,17.3813,2.9077,4.0713,19.9734,4.1418,19.5660,10.8522,9.1952,13.3363
8.3661,13.8989,6.9314,1.6494,14.4395,2.9929,4.3829,9.0600,8.6872,14.4814,5.7340,15.4104,15.3217
14.7705,8.8913,13.5415,14.5780,6.3997,0.7737,4.6757,8.3236,14.2289,15.7036,5.3237,17.4759,3.0583
7.2040,10.2010,9.6069,15.9135,5.9926,0.0741,5.0256,6.8647,10.6577,7.9875,5.5563,6.3599,10.4956
15.3453,15.6599,16.3162,7.6467,14.5916,2.2019,5.8638,18.7438,8.2959,19.3190,8.8295,19.8357,17.8619
7.2747,12.5751,6.8201,18.9544,2.4433,2.8662,4.9206,7.8136,13.9276,9.9289,5.6947,1.3581,11.0095
7.5214,10.7049,8.0661,14.7233,11.5040,3.4145,4.9566,8.7937,12.2972,14.6617,3.9237,5.4120,13.0747
14.1351,14.0897,17.1919,15.1169,2.9022,0.7515,4.0055,9.1898,11.4242,13.2487,2.9571,9.5682,10.2757
13.6353,13.0669,14.9461,5.4709,15.7331,3.2949,3.0202,23.7954,6.9024,19.7751,9.9445,5.2775,23.6800
9.9295,13.0044,6.7021,17.9854,6.2437,3.2478,4.6168,14.5195,6.3699,21.6551,5.5805,21.2782,7.5995
6.6480,12.1815,9.2483,15.1238,7.6792,2.9043,3.5168,14.6257,13.2235,14.3968,5.5142,13.9382,13.6632
9.9031,10.7428,9.0187,8.5552,13.1330,3.7407,3.1585,13.3072,9.2389,17.2095,5.3365,6.6036,15.3919
9.4806,13.1140,7.0903,3.4598,17.1172,0.3500,5.6089,8.0252,8.7661,13.0906,5.3935,16.3401,16.2019
13.5558,8.8825,12.2919,16.0923,1.6581,3.4580,2.0107,26.7674,5.7287,19.2202,9.7901,14.8093,9.4620
9.4565,11.6869,9.2243,12.1819,12.4988,1.3445,3.2506,13.2962,9.0096,13.6132,5.2861,0.0460,19.9106
9.9050,10.4103,7.1436,7.0117,14.8647,3.2918,4.6957,26.2616,4.0705,21.2951,5.2684,20.1663,17.5146
16.6024,4.4087,19.5013,2.7330,17.9229,0.9003,4.5241,10.9938,14.9998,15.7569,10.9844,19.8668,5.9016
6.0700,10.6905,6.4606,8.7756,14.4004,2.1152,1.1165,6.7174,10.6814,7.3578,4.1050,7.7483,18.2910
12.5141,4.4482,21.8891,4.5454,18.1695,1.2104,4.8573,6.3225,13.2903,9.9931,10.1504,7.4176,9.7040
7.1055,13.2305,9.5240,15.7383,5.7865,0.5907,4.4715,6.9735,10.5638,9.0295,5.1483,8.3078,12.8344
8.9044,12.6460,8.7985,5.3417,11.2481,3.2741,1.8953,11.2163,9.5920,17.1574,3.9551,13.3481,13.9624
6.8655,13.1858,7.8160,2.1153,16.2803,3.0976,4.9121,7.6037,13.1511,6.6313,4.4038,0.8682,22.2392
12.3269,6.1504,21.6312,5.3693,17.0523,0.8891,3.9321,20.5314,8.9359,20.4904,10.1053,18.9583,12.0074
8.6685,13.7103,9.6546,14.5918,6.2070,3.5364,3.0142,13.8929,13.2127,16.9727,5.0162,20.1121,10.9284
29.1069,8.5886,21.1426,18.8201,6.9218,1.1147,4.2432,7.9082,10.8969,7.4560,10.1334,2.6266,7.4989
25.9026,7.9207,20.8183,5.9215,15.9472,2.8753,4.9269,7.3498,11.0173,6.8365,10.9908,5.2777,11.4515
7.8344,10.8807,8.1844,16.4339,2.2219,0.5350,5.2110,14.6699,10.9330,15.7680,5.5009,17.4487,6.5471
18.4553,6.5830,20.3601,17.2106,3.0322,3.1880,3.3085,24.6516,5.7167,19.8144,10.6810,18.1317,4.3574
6.7608,13.3534,6.0714,7.3818,13.6205,1.2487,4.2819,8.6296,11.0548,14.5364,5.6865,11.6771,15.9931
8.5745,12.2434,8.3089,2.5442,15.5165,1.8554,3.6504,12.4777,15.7646,12.0879,5.7642,13.0979,18.5392
19.5741,7.4638,19.1766,14.5502,2.3773,1.7035,4.4163,9.5228,11.4792,8.6001,10.4269,1.1191,4.8854
8.8780,12.0074,7.2668,14.0105,5.1469,2.8281,2.6774,9.3151,11.7134,9.3586,5.5334,3.2339,13.5404
15.0813,9.7760,12.8869,10.7767,12.7325,3.7330,3.6502,30.6338,5.0890,19.1351,8.3173,19.5710,18.1089
21.8255,6.8883,20.0285,10.6549,8.6881,0.7857,4.9777,14.3190,12.2854,15.2314,10.2063,16.1458,4.3497
29.7943,9.8790,19.8074,10.3559,7.0713,3.9718,4.8681,12.3137,8.5048,17.7922,10.5557,4.7521,5.1685
9.6667,14.0076,14.4285,5.6849,14.6211,2.7625,1.5518,9.1615,10.8020,6.4047,9.0542,8.3945,21.6511
17.6025,4.9479,20.0666,17.2819,4.5998,1.1949,4.4294,13.5402,10.3338,12.2898,10.5081,17.9045,0.7148
22.4868,9.7362,20.5811,13.6363,10.7316,3.4010,5.3127,8.6861,11.8524,13.0262,10.6407,12.6642,6.6002
26.3688,8.1136,19.0322,12.2680,10.4834,0.3314,3.5843,14.9451,15.1222,16.4843,10.4291,16.3466,6.9102
8.7704,10.4573,14.0810,10.7743,14.3509,2.7613,2.7956,6.5230,11.0931,7.5874,10.0130,18.7441,12.7029
8.8212,13.2930,6.4148,2.1541,16.2878,3.6466,3.4618,24.7620,7.6367,21.6268,5.7778,4.5748,25.1844
9.1155,10.1788,6.5125,10.1249,10.4047,3.3613,2.8152,10.7679,8.8823,13.2281,5.4588,1.0679,14.8989
6.9974,13.3466,8.4366,3.9110,17.1221,3.0923,1.7039,20.2660,9.4023,21.8425,5.4483,3.6957,24.9515
13.0278,8.9443,21.1988,17.8873,1.1625,0.0064,4.0168,25.9006,8.4293,19.1269,10.1719,14.5905,8.8225
14.8376,11.0915,14.3645,1.5127,18.3015,0.2397,5.4576,15.5176,8.4236,21.1539,4.4424,17.6627,14.9606
28.8025,7.2586,20.5023,17.4238,5.2739,2.0471,4.1018,9.3629,13.3686,8.0288,10.5640,8.2958,3.7306
26.9516,4.4253,21.0490,1.8037,14.0163,2.3860,5.6724,8.5099,10.3983,16.8419,10.5095,1.7083,3.6185
9.3984,11.1235,6.8559,7.1941,14.7215,1.4585,4.2128,8.8824,14.4342,17.2503,5.3305,18.1133,11.4548
9.6367,12.1351,6.6697,10.8592,12.0430,3.5887,1.9963,12.1496,8.8909,17.1551,5.3961,17.7580,13.1784
8.1194,13.6278,6.1750,5.8619,15.7054,3.8441,5.0520,26.6184,4.0423,20.9207,3.1040,17.1821,22.8213
7.1005,11.8311,7.4072,8.8399,10.1572,3.2421,4.8495,7.7894,11.4467,6.6054,5.7166,3.2640,15.9790
12.7316,13.2423,13.8237,17.2936,2.0382,1.3405,4.0532,31.7764,5.9765,20.0514,6.3751,17.0799,16.3336
8.7668,11.9267,8.7950,15.0751,2.2639,3.2693,4.6288,10.8643,9.0433,14.1782,4.9819,1.5549,9.8840
7.8214,10.2721,6.7624,4.0028,14.9003,2.7827,2.7863,13.9077,5.1735,20.4244,4.0090,15.2404,13.6189
12.9437,4.1129,21.1562,1.8191,14.3721,2.2985,5.1886,27.4741,7.0143,19.8553,10.9630,21.7471,9.8871
19.3616,9.6055,20.3265,2.0721,16.9725,1.7316,3.8334,29.2997,9.0866,19.9035,10.6717,2.4037,23.6032
8.1813,12.7681,15.0836,12.4337,10.5212,3.5788,2.5755,25.1578,6.1817,19.1228,10.2814,16.8056,18.8000
12.1622,14.5249,15.4214,3.0355,15.7992,0.2912,3.0562,24.5656,4.5481,21.9377,6.6904,0.5091,27.4336
9.6592,11.1289,7.9237,14.8026,3.0193,3.6371,4.1380,13.5885,4.8683,20.3867,5.3798,8.4132,6.7886
6.8006,13.4768,8.1079,5.2899,14.1154,3.3004,3.3501,8.1951,8.1121,13.9481,5.1625,7.2798,17.5214
6.0639,11.3682,7.2957,12.7261,12.3372,0.4619,4.0807,13.4697,12.6888,14.8217,5.2108,7.3993,17.5138
8.8012,11.0646,17.5790,12.5794,9.1740,2.4989,2.6013,9.4769,9.5801,16.8246,10.4966,11.3644,9.8538
13.6174,8.8529,14.9962,3.8049,15.0698,2.9962,2.8948,7.2163,13.3959,8.6532,10.3253,15.0786,11.2514
8.7712,10.9593,9.3588,6.5994,18.0276,1.7572,5.0582,7.3023,11.7425,8.8167,5.7536,2.2089,19.8408
22.5345,7.0024,20.0560,14.2264,12.6597,3.6264,3.1338,27.6861,8.6040,21.2633,10.4004,6.4957,15.2875
16.4668,8.5272,19.5492,15.7609,4.7691,0.7852,4.2046,16.3558,8.7070,21.3166,10.8001,6.7832,5.9344
16.3818,8.9843,20.0262,10.9879,15.6325,3.9273,4.3573,8.0848,12.0660,6.1809,10.5916,4.7526,14.9656
9.7488,13.7447,6.3856,11.7122,11.6636,0.3087,5.3559,9.3467,13.2592,16.4793,5.2635,1.7193,16.8786
14.5943,14.5803,17.7586,1.5107,14.0869,2.1465,4.5169,18.3534,5.8794,20.9531,10.1065,12.9337,17.6732
28.6051,7.1612,20.5230,11.7987,8.6531,1.9283,4.8475,10.4682,12.6111,15.1418,10.6583,2.0737,5.0186
15.1262,15.2790,14.6658,14.9364,7.6963,3.5361,5.9539,9.3049,13.3910,7.0938,8.3506,15.3123,13.2691
9.2475,8.5119,12.6697,2.6539,14.5040,2.2635,4.2455,8.4261,13.3853,8.9685,4.9702,4.2911,14.8470
15.0903,9.9755,21.5570,14.6040,2.1562,2.0567,3.8454,12.9412,15.3418,15.2738,10.3042,18.4408,2.9240
15.9216,12.2458,15.8166,12.2029,8.0281,2.5674,5.4294,12.3922,12.2674,14.6622,9.1968,4.0104,12.3386
6.0382,12.2285,8.9181,12.2911,15.4913,2.3986,3.7442,6.3629,11.0571,9.1462,5.3215,17.7841,15.7315
23.9355,9.3133,21.1607,8.9922,12.5506,3.1864,5.0930,16.2215,5.3143,20.9534,10.5932,9.5455,9.1250
8.0322,13.4545,6.9226,18.7991,6.4186,0.9303,4.9187,7.8357,11.9937,9.4660,5.3287,17.9540,10.9198
29.0476,7.2035,20.5300,17.5727,4.6826,3.1321,5.5621,15.5294,10.4862,16.7564,10.7172,12.5910,1.0846
7.6163,10.5493,9.2960,14.0167,11.4709,3.8051,2.6339,14.0133,9.6812,20.7857,4.2373,14.0755,12.0324
30.8184,8.1735,19.5860,12.9325,10.0581,3.4287,1.3256,14.0153,12.1111,17.6392,10.1309,1.6501,9.3618
9.6341,12.0628,9.8202,15.7720,5.5948,2.4236,3.0953,9.1519,14.6921,12.4803,3.2331,21.6324,7.8657
11.3506,14.0562,12.8978,12.4687,7.8743,1.8486,5.8524,24.5885,5.4707,19.2250,5.1749,9.0990,18.9892
20.4832,7.9064,21.4522,6.2516,13.6097,2.4987,4.5692,8.2417,14.4675,14.4934,10.8076,12.7787,6.4535
25.8217,6.7150,20.6488,16.0051,5.8937,3.1435,1.9151,6.1414,13.5921,7.0274,10.8276,10.9692,2.6381
9.9187,12.5510,6.5525,1.6444,16.9287,3.5696,4.5972,6.8276,10.4585,7.1205,4.5893,9.0124,18.7132
15.8834,12.7196,12.2986,10.2757,15.1499,2.0509,4.4615,13.6567,14.8726,16.7000,7.6365,20.9339,14.0850
6.4408,12.3040,7.6219,14.8521,11.1752,2.9044,1.2238,13.1043,12.9464,16.0973,3.4706,2.0507,19.4825
9.4368,9.3609,16.9093,16.4407,1.0510,2.2659,5.5281,12.3567,4.0649,19.9757,7.5299,17.8268,-0.0697
11.8404,15.9312,14.5408,5.6596,18.0737,3.1125,4.5198,8.6439,11.4626,6.9306,5.6236,1.3961,26.1395
14.7983,15.1561,13.3908,7.5259,12.0057,3.4876,4.8823,8.5045,11.0201,14.3952,6.2537,18.5580,12.6129
17.5130,4.5446,20.4428,6.9057,14.6430,2.5706,5.7126,26.2608,6.5806,20.6731,10.0236,11.3173,11.7239
26.3358,4.8251,19.6094,17.0700,5.9489,0.3527,3.0492,18.7187,5.9317,19.5371,10.6963,8.2625,3.7448
12.4112,6.1951,20.4739,16.6712,5.5999,0.2648,3.7322,14.1096,10.9462,16.0963,10.7489,2.9986,6.9636
6.4346,11.2484,8.0729,14.1855,2.8499,2.4604,3.7998,8.5041,10.9773,6.1200,5.7715,11.8872,9.4277
23.5691,8.0785,20.7301,10.8980,10.0807,2.4221,1.1283,11.5828,9.9752,15.3517,10.5896,15.6477,6.3219
14.2850,13.4263,15.5128,3.1827,17.4306,2.6478,3.1818,6.4950,13.3299,7.4239,8.6420,21.5069,16.0971
8.4831,12.5425,9.5926,15.6559,6.5705,1.1644,5.5842,27.0210,7.9463,20.5384,5.8550,5.5501,19.1286
14.2528,8.3270,15.9685,13.0424,5.4405,0.3669,4.3640,15.3076,7.9064,19.9309,4.1846,10.4410,6.3195
29.6720,7.5977,21.2704,9.2371,14.3595,3.8511,4.8344,14.1611,5.3162,20.9089,10.9053,10.5922,6.2677
7.6464,10.1256,6.0714,6.7938,18.8101,1.2551,5.5699,23.1984,9.6820,21.4336,5.5211,2.0552,23.6604
12.9188,7.5056,20.5062,11.4913,8.0920,1.9783,3.4646,14.9973,14.6374,13.1082,10.3791,19.5447,6.7014
8.3409,15.5195,14.1227,15.8019,6.0068,2.3785,1.0034,12.2769,6.7883,19.1741,8.8258,14.0515,13.4049
9.1348,10.5579,8.5496,5.1410,10.6336,0.5384,3.7452,14.0301,11.7359,12.5283,5.2180,21.6602,12.0191
10.2130,12.1576,17.1299,12.1745,11.3844,2.6871,5.2480,15.2840,10.3960,15.3861,2.1135,16.9027,14.4475
9.2601,12.2051,12.3386,11.8987,6.9953,3.8989,4.5049,8.2785,13.1680,15.2871,8.5266,19.0975,6.1727
7.5530,10.1913,7.5808,15.1569,1.1315,3.4372,1.4170,7.6137,12.1616,9.7905,5.2613,7.4973,7.2495
7.8515,13.7073,6.7316,3.8479,18.6571,2.9994,2.7399,23.7157,7.0016,20.1588,4.0390,13.4151,25.9293
24.1870,7.1472,21.4233,10.0851,11.2892,3.2208,3.9176,6.5099,12.1440,8.7029,10.0603,5.0062,7.1984
16.2782,9.8479,21.4297,15.1832,2.1869,1.0501,4.3373,10.0609,8.1409,16.0237,10.6712,7.9495,3.5307
8.8635,15.8735,13.6247,5.3288,14.7982,2.7887,4.5750,8.8964,11.6877,7.5657,9.1442,5.9917,22.3714
23.7679,4.9008,20.3937,6.9672,10.8587,3.9223,5.0729,27.3442,7.4151,19.6708,10.9000,17.3014,7.5928
31.0817,5.5431,21.3992,18.2424,1.2378,3.7998,2.2658,10.6693,13.5333,14.4276,10.7517,18.4128,-5.3323
15.3309,6.5448,21.1930,8.4559,14.5819,3.3914,4.1790,16.5564,9.4266,21.3875,10.9524,2.5970,11.3098
8.9018,14.9589,17.1874,6.5471,14.1058,3.3660,1.2766,15.0318,7.5734,21.4762,10.8608,21.4326,16.0885
7.2581,11.2456,8.0636,4.9353,14.6632,2.0192,4.2292,7.0412,10.5662,8.4984,3.1909,10.3245,16.3198
